,County,Cases,Deaths
0,Allegany,3900,87
1,Anne_Arundel,17627,288
2,Baltimore,30671,737
3,Baltimore_City,25686,570
4,Calvert,1687,38
5,Caroline,1030,10
6,Carroll,3517,139
7,Cecil,2288,48
8,Charles,4593,103
9,Dorchester,1045,17
10,Frederick,7425,144
11,Garrett,915,8
12,Harford,6405,104
13,Howard,8561,147
14,Kent,486,23
15,Montgomery,35056,933
16,Prince_Georges,43000,923
17,Queen_Annes,1159,26
18,Somerset,1127,9
19,St_Marys,2295,65
20,Talbot,848,7
21,Washington,4764,81
22,Wicomico,3570,60
23,Worcester,1536,38
24,Unknown,0,25
,,,
,,,
